stream_name,stream,district_name,district,o_zscore,zscore,course_name,course,university_name,university
Biological Science,1,Gampaha,2,1.6299,16299,BioChemistry & Molecular Biology,7,University of Colombo,7
Biological Science,1,Gampaha,2,1.6297,16297,Veterinary Science,8,University of Peradeniya,8
Biological Science,1,Gampaha,2,1.674,16740,Dental Surgery,9,University of Peradeniya,8
Biological Science,1,Gampaha,2,1.6856,16856,Dental Surgery,9,University of Sri Jeyawardanapura,9
Biological Science,1,Gampaha,2,2.3707,23707,Medicine,10,University of Colombo,7
Biological Science,1,Gampaha,2,2.1855,21855,Medicine,10,University of Peradeniya,8
Biological Science,1,Gampaha,2,2.1374,21374,Medicine,10,University of Sri Jeyawardanapura,9
Biological Science,1,Gampaha,2,2.0542,20542,Medicine,10,University of Kelaniya,10
Biological Science,1,Gampaha,2,1.7173,17173,Medicine,10,University of Jaffna,1
Biological Science,1,Gampaha,2,1.9682,19682,Medicine,10,University of Ruhuna,11
Biological Science,1,Gampaha,2,1.9214,19214,Medicine,10,University of Moratuwa,13
Biological Science,1,Gampaha,2,-100,-1000000,Medicine,10,"Eastern University ,Sri Lanka",2
Biological Science,1,Gampaha,2,1.8387,18387,Medicine,10,Rajarata University of Sri Lanka,3
Biological Science,1,Gampaha,2,1.6995,16995,Medicine,10,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Gampaha,2,1.7018,17018,Medicine,10,Wayamba University of Sri Lanka,5
Biological Science,1,Kalutara,3,0.6754,6754,Agriculture ,1,University of Jaffna,1
Biological Science,1,Kalutara,3,0.6839,6839,Agriculture ,1,"Eastern University ,Sri Lanka",2
Biological Science,1,Kalutara,3,0.6882,6882,Agriculture ,1,Rajarata University of Sri Lanka,3
Biological Science,1,Kalutara,3,0.7605,7605,Agriculture ,1,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Kalutara,3,0.6734,6734,Agriculture ,1,Wayamba University of Sri Lanka,5
Biological Science,1,Kalutara,3,0.8461,8461,Applied Science (Bio. Sci.),2,Rajarata University of Sri Lanka,3
Biological Science,1,Kalutara,3,0.9576,9576,Applied Science (Bio. Sci.),2,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Kalutara,3,0.8333,8333,Applied Science (Bio. Sci.),2,"University of Vavuniya , Sri Lanka",6
Biological Science,1,Kalutara,3,1.6262,16262,Biological Science,3,University of Colombo,7
Biological Science,1,Kalutara,3,1.4561,14561,Biological Science,3,University of Peradeniya,8
Biological Science,1,Kalutara,3,1.3449,13449,Biological Science,3,University of Sri Jeyawardanapura,9
Biological Science,1,Kalutara,3,1.261,12610,Biological Science,3,University of Kelaniya,10
Biological Science,1,Kalutara,3,-100,-1000000,Biological Science,3,University of Jaffna,1
Biological Science,1,Kalutara,3,1.1162,11162,Biological Science,3,University of Ruhuna,11
